SMSes,Labels
"ok.. then i see u tmr, after u noe mei mei's time then we see how to meet.",0
Yo I have seats for you and <name>,0
Oh. So when u taking me shopping? :),0
Maybe hehe i ate shilin ytd:D take dillon sleeping 7,0
Yeah that'd pretty much be the best case scenario,0
I asked sen to come chennai and search for job.,0
Clubhouse! :D,0
Can she leave it somewhere for us to collect ah... okay. Mon i will be school...,0
So tomorrow u wat time going?,0
Hey.. further door ... dun forget today got quiz!!,0
Hey do you mind if the cover was poked?,0
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0
...you might not have another opportunity to sufficiently hurtEverett before Noam's death though,0
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,0
I dunno where to dl. But have it in my phone memory. U can try dl online la,0
"You want to real steel tmr, it should be free,  but the catch is mustwatch with  <#>  girls",0
oh. It's OK. Have a good day.. and all the best with the interview..you ll be fine!:-*,0
Ok can we meet at 6 then?,0
Lol I got go the lect leh.when he keep talking abt the air con not on.hahaha.woah y choose to do internship during the sem?Isit good?,0
Uhh what type of relays + send list kthx,0
Ok ok.. now doing some reading for tutorial.. U?,0
K I'll be there by 9,0
"Haiz.. Nothing in my mind at e moment.. So bored, at least u got tv to watch.",0
you're becoming so lean..eat properly:),0
"Neh,only Yuanhan. Yuxiang went out already. Yeah now I know:(",0
"s ticket, c how much to bring...",0
Nvm found it.,0
d b more effective if i were watchin e show w u.But never mind that.Kena arrow for some stupid course:Communication.,0
Hee!!muuacks. I looove u so much !! U so sayang me also. Kiisses!!,0
URGENT! Your Mobile number has been awarded with a ?2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1
What happen,0
Ok can just include in the note if u got anything need to be mention,0
No why,0
s goin on...,0
Neh not yet. Think it's gonna be the market again sian.,0
Bring fearless!,0
Eh did u sms the wrong person?,0
"Sorry din c ur msg just nw, i only go to 2pm lecture later...",0
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong >:(,0
"Love is a hand watch, only one person can see the time. But friendship is like a wall clock, every one can see the time. - Sent via WAY2SMS.COM",0
Any place?,0
Ah.. realli? eh.. okay.. i see wat i can do k? let u know later..,0
<#> nitros about to be cashed in. Along with a few of the other drinks,0
Reach their hse le...,0
Lol no... not my type lor...,0
Kk then 6pm at my house! Haha. See ya.,0
"2 gb ddr3 ram : 3 years  <#>  gb hdd : 3 years dvd writer : 1 year i-ball cabinet : 3 years keyboard & mouse : 3 years  <#> "" dell square : 3 years with intel i3 :  <#> , <DECIMAL>  phenom :  <#> , <DECIMAL> ",0
s blue or pink...,0
I have added u as a contact on WAY2SMS.COM to send Free SMS.(to stop receiving SMS  email unsub@way2sms.com)-Sent via WAY2SMS.COM ,0
Nope haha I'm not involved in it! Hahaha omg lcs!!! LOL WHAT THE.,0
m meeting another friend then can intro ü! 1205 outside e LT? Oh i heard weiyi is taking e same ss or gem as us sister issit? Haha.. Btw ü got laptop?,0
Lols aye got arp n training so no volleyball. Went fren condo lols. Iwas bored just now and tried to dl gba emulator,0
Where are u? I am eating lunch now at kallang,0
"Jason, you going for napfa on monday?",0
Which coach u r in?,0
"Hi, how's everyone and how are your kids??",0
I think  <#> th but better settle this early,0
"We meet 7 tues at orchard coffee club, its girls night.",0
"In the er, roommates came with me, love you",0
Great escape. I fancy the bridge but needs her lager. See you tomo ,0
Haha I got no more time ~ comp in jan!!! Hahaha so cool! Did youspeak to him in jap? Haha and if we go we get to alternate sidesHAHAHA!!,0
Nope,0
I ws bit busy wid cookng...,0
Our Prashanthettan's mother passed away last night. pray for her and family.,0
Lols I busy now. Chionging hmwk. How bout 2moro?,0
Seems like nobody else gg early lol. A bit extra sia.,0
"Hi Ing Cheong, do you have the timing for tomorrow yet?  Thanks!",0
m comin back 4 dinner leh...,0
Will come down now...,0
I now walking over.,0
Do you want to go to that?,0
Sorry haha I need to report for convocation rehearsal at  <#>  sohave to be before that:/,0
oo.. with him?,0
Can I play? Haha cause I manage to finish my html assignment le. Hehe,0
Haha for now only got cally and me. Jason not in singapore. Umm Idont know still got who.,0
Nope... Juz off from work...,0
No. She's currently in scotland for that.,0
"Whatever, juliana. Do whatever you want.",0
Wake me up at  <#>  am morning:),0
Nope.. still on the way. Haha.  Hope I not late,0
Eh haven eat yet haha going to soon... hmmm feel like eating subwayhaha... lol i tot u r trying to say got enuff slot lol... must go findand take.those unearthly hour lo,0
ah ok. I thought I ll join you.. so I ll come separate?,0
Yup. The place we are going is called serene centre.,0
"Haha is it? Dun treat me!! Save your money okay! (: haha who says Iwill! waiting for my stinky bro to bathe._. No wonder my room stinkslike mad, he always need to be pushed to bathe, sometimes he don'tcare then never bathe for 2 days in a row, I can freaking smell hishair from far far away, then everyone ask him bathe he still say wait!Omg i'm damn pissed sia, where got ppl dun care about personal hygieneuntil liddat one?",0
"Haa before i forget, i must thank u for bringing e cookie, hee if not next time no more liao.",0
"I upload e songs into yahoo briefcase, u go 2 http://sg.briefcase.yahoo.com/, log in using the socfriends account, go 2 folde MP3 2 download",0
Thanks so much.,0
"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",0
Can't want YouTube and learn meh?,0
On bus reching cck,0
hello pple tomorrow lets meet at take outside Cartier at seven pm. See u tomorrow call us if anyone is going to be late. Elaine,0
It's at ec,0
Dun have your bj ice cream lehs.. How? What flavor?,0
I'm a fish <>< no la still drifting. Maybe 5 min more?,0
OHH YAY!!!!!!! (: (: (: hahaha yours is funny not scary!!,0
"Ricky, can you please let us know your portfolio from your company'swebsite?  Thanks!",0
I want my specs back!! Haha ohh no both of then opened your msg!,0
Its a big difference.  &lt,0
ok.. where u nw? mi reachin soon...,0
"Dizzamn, aight I'll ask my suitemates when I get back",0
Thought we could go out for dinner. I'll treat you! Seem ok?,0
"Alright, whatever works... thank you so so much",0
Eakadesign website up!,0
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",0
Wire brush x3 plus refill,0
Having 1 Child Makes You A Parent But Having 2 Makes You A Refree. Gud nite:-),0
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",0
Okay I call him later.,0
Yes can. So i'll see u on fri.,0
Hahaha I see!! everyone went missing!,0
You sure your neighbors didnt pick it up,0
"Hahaha damnnnn. I think so D: haha oh I don't usually either, itsjust to match Chester hahaha",0
"My mum recorded psc nite so watch w her lor... E stars really came lor, not recorded one...",0
Is tml dinner confirmed?,0
U there taking photo?,0
Ater want eat dinner with por por and hl ha. Dont call in  lib,0
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,0
In life LOVE is never planned nor does it happen for a reason. But when LOVE is real  It becomes your PLAN for life and your reason for living...:) ,0
LOL HOW CAN I HELP YOU MAPLE SYRUP,0
When should I come over?,0
just go to hell yes you u only ! because only you can change hell into heaven by your sweetness.gn.Abhi - Sent via WAY2SMS.COM,0
"ve to meet em at 845, dunno can wake up anot...",0
Thanks are you still thinking about queues lol.. sleep earlier hor good night!,0
i think you are fine,0
Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp,0
then can shoot outside mah ?wah liew fail markmanship test ah?,0
Lol i'll be mostly busy but i guess if they need technical crew/circus acts i can help out,0
Hey hi heard u in nus sci.I oso.How haf u been? Im working nw.U going sci camp?,0
Why 6pm?,0
"Yeah I think so, where are you btw?",0
"Wah u still rmb. Haha. I forgot already. Nvm u claim from me on wed.3 of us so zai, of coz can lah. Okay okay. U just keep me informed canle. Thanks.",0
"Btw, I thought chung said he cld go? Did u msg him?",0
Hmmm... My lect end at 2... Shld b ard in late afternoon lor...,0
Tell u wat. U 2nite chiong plus 2moro morning den aft  tt come,0
you want to go jo house later? after eleven?,0
"Tomorrow night I'm free though, but u should be going home right?",0
Okay sweet! I'm walking back to calarts,0
wtc? Ü going? v far leh...,0
I m here. ,0
Haha i've done it before! I think I'll go do that later:P but actl Inot very hungry leh! Haha omg I slept for  <#>  hours! I want to seeyou too! What time is your db?,0
Aiyo wasted! Go by yourself! :D haha I thought you mentioned!! Thenwhere are you going?? Haha what!! Sorry lor:D,0
State of Play? There are good korean movies ass.,0
"Hi Jac. Happy Chinese New Year. 1st Feb what time? I got something on in the afternoon, so gotta see if the time clashes or not.",0
"Sorry, I really didn't mean to ditch you guys, I just figure we'dhave to leave fairly soon anyway",0
Remember to ask alex about his pizza,0
Was at tiongbahruplaza. On the way back to school now.,0
Thankyou so much for the call. I appreciate your care.,0
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt,0
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",0
"""Sharing a lovely relationship not only depends on the spoken words, But it also depends on understanding the unspoken words..""",0
Sounds good.......,0
Okay. I go over ard  <#> pm. Reach le call u.,0
If i could pull down the rainbow i would write u'r name with it &put it back in the sky to let everybody know how colorful my life is with a friend like U..Gn ,0
OHH NO!!!! Let's go exercise everyday like seriously! Omg haha veryconscious now! omg but alr eat alot less than last time le! Haha dunsian! jyjy!,0
"hellow ify, hope u re doing fine. hw s baby. hw is ur mum , hope u re hearing from her.",0
I do more than u...,0
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,1
Some of them told accenture is not confirm. Is it true.,0
Hey I invited Shweta also.. no problem right? will reach in  <#>  mins,0
"Me lah, who else u wan, haven ask shuhui yet",0
Okay... Ü call us when ü reach... My drivin is at 240 tmr... Ü have 2 lessons? Or only one?,0
"Mr lee, I am feeling unwell due to fever and flu, so I am not able togo for lesson. Sry for any inconvenience caused",0
",.... hw u going to code without thinking of input output needed",0
Yeah xP it's so obvious too xP,0
Gud nite slp tite...Will call u tml k?U wan a wake up call?,0
"3 science and one math haha! Wow how does that work haha, how manysubjects do you take anyway! Today is my shortest day hahaha",0
Lol so she wnna scare all tge guys away with her old photos? XD,0
Yeah im supposed to deliver this on christmas. Haha if not I will getscolding.,0
I nvr sign farhan's timesheet. Haha.,0
Muggs!! U eat too ok! Kiss u!,0
Whyyy im fine with timing seriously.,0
Lol still on mrt ah? Im outside the shop already,0
ll buy e present? :) thanks! Any idea on where to go?,0
Lols aching frm pull ups,0
Hey! Yeah I'm feeling a little better. The nausea mostly went awayand I just have a fever and runny nose now,0
Ooo... Ok. My name card is printed..ooo. I need confirm is pirelajewellery. Not pirale,0
That bitch,0
If u tmr got work then we play till  <#>  plus  <#>  jiu hao.,0
"It's fine by me but I'm not there... I think <name> is and if shedoesn't mind, go for it!",0
"Thanks! BTW, I also contacted Kesmond Yow on some other Villa Verdeunits.  It seems that he may have other units you might not haveaccess to?  We just want to have a more complete picture before makingan offer.",0
"So go home order a pizza, have a drink or 6 and you'll forget all about those customers.",0
Clouds uploaded.,0
Haha.. ok... u gg home now? We watching at jp.. watch together another day?,0
Haha wanna call awhile?:P before you sleep!,0
Leave it de:-). Start Prepare for next:-)..,0
Happy new year. May all your wishes come true this year and stay happy always yah,0
I was going to msg u... Can meet at 7 at orchard...,0
"School sucks =P other than that I just have bad anxiety shit.. Ipromise I didn't text you to complain, I just miss you!",0
Okok. But after I watch finish my show. Later then create.,0
ll be quite late...Dun feel like going so 4 lect early...Haha,0
No more. It's about three yrs old.,0
Letters of rec,0
m so bored!,0
"Hahaha must have enough sleep de mah! Haha I habit le, exam timequite frequently sleep early wake up earlier study de haha! Ooo okay!Hahaha I wish I could do that too, but I want bio hons! Haha I willdao and sleep for phys maybe! Hmm, actl, maybe not, phys I got try mugbefore hehe!",0
I kno. I chose 2 tell u tht. ,0
I heard its tues omg!,0
Beauty sleep can help ur pimples too.,0
I'm at level 2. Which part are you at?,0
Sounds goot my loff!,0
Erm but now got difficulty finding last player. U wan play with jason?,0
"Hi, yes let me call u in an hour's time.",0
Haha ohh the off white one is it? (: ok next time I go there with myparents ask them which colour nicer bah! Haha I dun know how to see!Is it in the sms before the link?,0
What's youe confiemation number?,0
Have no idea. Just send at least <#> and it will be fine. It wont be anonymous to tianran though since he identifies by email.,0
s still a long queue... Sianz... I might not b able to meet ur...,0
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1
Yeah!! I bought a Reebok cap got 9 bucks!^^,0
Possibly the whole day. And I don't think Martin checks his phone often ._.,0
Ok. Still 3hours?,0
Lol umm okay. You invite on behalf on me la lol. Im quite busy withmy camp eh.,0
Remind me how to get there and I shall do so,0
"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",1
U need the handheld beer,0
t sent u 1 in ages started driving so stay off roads!RVx,0
Heading over noow,0
Ah who did?,0
Sorry d v seriously forgot,0
I changed it quite long ago. Guess u didn't update your contact list.Haha. Nolah where got money buy iphone.,0
We coming out le.. where u?,0
As in ur close frens la. Like b1 b2,0
Simi is bebue.next sem not ur last sem meh got so many soc mod.haha.,0
"Gal, u wearing jeans- my jeans ready liao...",0
Haha I believe you know the place. Haha it's at the underpass.,0
Good morning. Please note that there wont be vocal classes today in leiu of Christmas. Merry Christmas and God Bless you and your family.,0
Yei yei!!!! Hee. Remember to have ur dinner soon ok. I hungry le.come bite u!,0
Bring money,0
K come to nordstrom when you're done,0
No have. Jus finished dragon boat.,0
Hahaha wahhs shiok man!! Should just party into the night :DD hahahayeah audi would have been SO much better! And then ppl can alsoappreciate more!!!,0
"hi omar, will u still be in nus at 6 ?i have some difficultydelivering the report by 5..",0
I nid ask my mentor off day see if can,0
"Orh ok, I'll go after my lessons. I dun think I got time to visitruyi cause lessons end at 4. Lol wad to do between 4 to 5 plus? Lol",0
That's becus you dont go around smelling other guys' bodies:)),0
Thank you.. Good night..,0
"Need to return bike first! Haha all rushing, return by  <#> ! Iwanted to say sth but forgot!! argh!!",0
Huh... How come... U nvr feed water ah...,0
Nice talking to you! please dont forget my pix :) i want to see all of you...,0
U want she zhiwei to be printed in ur passport?...,0
Lols from who?,0
Hmm.. Becoz i don't know which part of e video u want to show thequote leh. Haha.,0
"Hmm you guys go ahead first, i'm having a stomach ache! :P",0
"either ur power cable spoil door port spoil, I used one of ur monitorcablle instead. Just needed to transfer the letters.",0
Wat time u be at home ah?,0
Yeah hard to walk and talk with this.phone.,0
Near kalainar tv office.thenampet,0
I thought u went out with her so maybe u would have know what. Haha.,0
Enjoy the hols,0
Sweet! I'll come outside!,0
"Aiya i think u're exempted from a biz com module. That mod teaches uon presentation, proposal writing etc. But nvm, if u really want, lookup for workshops organized by nus. There're many sent via email thatcan help to improve soft skills one.",0
"Haha that's great... seriously though do they just sit around andmake shit up? I mean, half of syntax it's pointless but it's not alljust made up on the spot",0
"Say this slowly.? GOD,I LOVE YOU &amp",0
Ahh sorry sorry I just received your smses! I have chinese so can't make it><,0
Lousy. 2moro when fly,0
Comets and meteor hitting earth? Idk lols,0
Nope dad im not hungry.,0
Ü c da glasses nice n cn sit properly on è nose... It feels comfy then buy lor... Wat haf ü bot oredi?,0
She ask me ask you and raghav!!,0
Hahaha i'm not in clementi! It was fine haha I hope I did alright ><apparently quite a lot of people around me died? Unless I never studyenough then dun even realise i'm wrong HAHA. haha yeah lor!! never sayhi emo haha! Haha ooo still haha :P,0
"Hmmm, ok. I got off on the 8th of next month. Hope you will be free for a lunch then...",0
when u free? wanna go christmas shopping at orchard?,0
hello manish have dinner at hotel today,0
Ohh right she's in Aussie!,0
You all met up already?,0
*sings the gc song*,0
I see. Waa got lightning le. Later cancelled,0
Why i come in between you people,0
"Hey, so our grp consists of teck guan, seeteng, gary, dickson,yaofeng, michelle and subi. 7 a grp.",0
Dear dear. Test brought forward to 1pm.. OK hor?,0
Chinese eng? nvr hear before leh.but i dun mind tomorrow 650 for movies heh-,0
"I should think so... how else are you gonna compare differencesbetween different groups? Like, I'm doing gender...",0
Izzit... U oso muz thank me cos i look aft millian 4 u... Muz buy some more things 4 mum lei... Nuts n candle lk not enuff lei...,0
Reached :),0
"Free slots, time indicated is when I can reached tutee house: Mondaywhole day. Thursday 4pm and onwards. Friday 7pm and onwards. Satmorning to  <#> pm. Sunday 2pm and onwards.",0
Wah i abit scare also. Lucky i nvr do. I very weak in terms of bloodthings also. Haha.,0
And torch is  <#> ,0
I hang all my earrings one...,0
ok.. u reach school let me know? I camp in engine,0
Ya srsly better than yi tho,0
Eh no sia no reply from them.. I tink we need to find another company le...,0
Haha I don't rmb! Is it bugis?? Haha its not thoroughly frozen! soeat abit first:P,0
Haha ps!! It's coz i'm shy and idk what to do! >< haha oh how diff??,0
Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt,0
Where's the place,0
Really she in wad course?,0
Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,0
Where r e meeting tmr?,0
Oh can pass the  <#>  bucks to Sophie btw? Thanks!,0
"Hey can postpone anot... Haha, cos i wont b ard until 4th june...",0
"Lol extra 1 dollar nia, treat it as paying for admin fee laaa",0
I thk ?_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,0
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",0
Wat time he pickin u up?,0
"Sree, if u're too tied up with other projects, rest assured that wecan follow up with the biz law assignment, just let us know what isleft so that we've enough response time. I'm sorry to pester u again!Haha.",0
ll hav lunch.at...wher?,0
Lol probably everyone finished their paper except you XD,0
Okay I'll tell Mike to tell Josh,0
"Hey! Just letting you know I just got to cabrillo for a jazz concert,and I'll be home a little later",0
re doin. Hw much u collect?,0
"I forgot there are 2 more lines, so altogether is 4 major parts. Andthen some small little spare banjos. As for the copper washers, Ithink they are in the big square box underneath my table. If not, Iseriously think ws derrick know which are the ones suitable.thnx alot, and rmb to give him a call b4 u go.",0
gt free slot? maybe can meet up. bt i need to check wif him first,0
OOPS I missed by  <#>  mins!! Happy belated birthday!!!,0
Did you go to Garrett's?,0
Wuuut you really got all Bs?!,0
Say how much?,0
thanx!,0
Haha so cute! Teach math ah? Ohh tell the p2 kid you gave agirlfriend! Later she become very sad LOL.,0
"Hi Sue, just want to confirm valued coming up now, between  <#> : <#> . Thanks",0
Haha show can get online mah hahaha some more scv got replay de,0
Meet mrt station  <DECIMAL>  bah.,0
"First and only one! I mean minus the cheapo one I found haha! Nopenot buff so must gym): Yeah got diff, yours says changed mind haha!",0
Ok. Confirm meet at warren at  <TIME> .,0
Practice 2day at  <DECIMAL> a.m .since ts poya day sry4 de late notice,0
"No I mean I thiiink you should be able to transfer to wells fargo,I'm googling around haha",0
"Yea. For the  <DECIMAL>  in one.  For whatever reason I cant get the<DECIMAL> in to work at usb3. Buffalo internally also write buffalo,so I dunno which manufacturer.",0
I waitd for ur col . Nw im sleeping . As it is im upset . I fought wid ankur . He yelld at me for no reason :-( Gn . ,0
Lols tts the pinky bro I knew! I also suck at all ... Sianz when cca start,0
Where yo,0
Rush hour 3 which I just watched. Wat time coming,0
Hi I am eating there. Near the drinks.,0
Ah jpeg please.,0
Hey bring my dc assignment tomo. I didnt write tat differentiate question,0
Im reaching in  <#>  hopefully. Bus hasnt arrive T.T,0
K..cts test easy?,0
Shhhhh nobody is supposed to know!,0
will you come,0
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",1
"NEVER! I'm cuter!!! but you're chioer, I'll give you that!!! chioestin the universe!!!",0
"I haven't started.. ya, she said it was oxidated. But I didn't catchwhat she said about the machines beside the door",0
Nothing where are you,0
Will call you shortly. In a meeting wai...,0
"gd gd. hmm,, need to send email by start of lecture.. u wanna send?",0
Never send the credit card. I've already two.,0
Haha I just received this): haha waiting for  <#>  now! Hahaha jyjy!!Prom won't be so bad!,0
Hehe sorry no reply was no awake,0
"Tick, tick, tick ... Babe",0
"Sorry, some cannot make it so no meeting tmr.",0
Crap I didn't bring the paper home so I dun have the qns,0
I'm bored lol,0
"Same fking thing as delrin spacer. If they don't point out mistakesduring design phase, den wanna make changes suddenly, fking offer tohelp instead of commanding.",0
Haha what time are you waking up? I might go out for breakfast withmy parents then come back!,0
Haha... Hope ?_ can hear the receipt sound... Gd luck!,0
Hey no one s n class de. Shall i take ur bag to rest room,0
The marked ness  monster!,0
Thanks.....,0
Baba is teling 'andreu didnt even talk 2 me'. If u r free talk 2 her in 5 minuts time.,0
Thank you a lot for the beautiful messages.,0
"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0
Vishvasikkumoo ennariyilla.njan vallathe kaahtappettu.now sitting on the footboard of a kumali bus to reach erumeli.in between my in between leg got injured after long walk.,0
I come le someone seating beside me is too dirty :(,0
Phone de bo leh. Only got ipod. :-o why you keep copying and pasting lol,0
Leave the door unlocked please :),0
Did she say anyth else? Hahaha interesting!,0
Today ur lesson wad time to wad time??,0
no i at home le. haha. when u finish then call daddy lor,0
Woo okay. Then jiu spam more bah! Lol,0
Yea going hm soon. U le?,0
woman for president? I think all women would suck at it...even me.,0
What time. I may be there at 8+,0
eat 2 maybe need to go nuh already,0
s work? Another relaxing day at work? Jealous? ?,0
"Hey, you free this fri?",0
late again ar? further door today. :D,0
I think my mno <#>  test cui leh. I wrote only like 2 pages and theprof shoot me how i can squeeze everything within 2 pages. Haha.,0
Lyn leaving at 2 plus so do they mind taking over?,0
I never see it.. where u put,0
Night night smochies to my sweetheart.  Laogong wan an!!,0
"hi, come back home now",0
"I have lectures till  <#> h, where could I meet you to pass you the forms?",0
She got relative visit house lol she say if not enuff ka then she play...,0
Send me the picture,0
"I'm outside, waiting.",0
Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,0
"I can send mine 2 u, then u jus change lor but think u got 2 do it b4 office hour end.",0
Orh! I leaving hse now. Muggs,0
"I'll see, but prolly yeah",0
Lol you want to irc?,0
Haha okay (: my mum dun let me go shangri la haha! Haha your dayright! Hahaha send him some random sms and hint to him you got brokenwrist:D hahaha yeah it's training! ohh no i'm speaking to the wrongperson!,0
Hahaha you so pro! I want to play also): haha I dun think I will!,0
Ok then if u got the container can help us buy 3 can mushroom soup?And evelyn wan one thick pad.,0
"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u..",0
If u gt no more changes then I submit it..,0
Yr wat d hel. I trstd u a lot cz u r clse 2 me  bt y do u talk behind my bck? Y didn't u tel me frnkly? Y r u telng othrs? Dat Im soo  sweett..  ,0
"yesterday was better than i expected. if dun count  those'interesting' events n ur irritating nephews, most of them still quitefriendly ..",0
Wow what the:/ is she okay?,0
"Att is really really really bad here and expensive, I think Comcastwill be okay, but they said we need to get a router, but otherwiseit's nearly set up",0
Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,1
Wth wat exam,0
I don't know yet. Ya SS mod is like that one lah.,0
"Hi Andreu, hope u r busy. Cash deposited. Pay 4 fone n dongle. Goodnite. May God bles u.",0
"Hi Yong Yu, I will be down in the lobby in  <#>  minutes.  See youthen.  If you will be late, please sms to let me know.",0
buy newspaper...,0
e last one i watch was the one i watch wif u,0
? A group of platoon 5 pple then we go not extra meh.lol.,0
"Up 2 u, if u wan 2 look around then i wait 4 u but try not 2 late.",0
When are you going to ride your bike?,0
Hey bro good morning.. So busy marking papers... Wats up.? Wat r u doing? Me went to bed very late yesterday.. V did r program nicely.. Me too did my part wel.. Everyone praised.. Al glory to Him.. Yesterday i left my 4n in the room nd 1ly went for the concert.. Now me at school.. Wen u wil u get ur free minutes to talk?,0
Nah not true. Hahas guess I go there to see pro ba,0
Tt one is early de. Okay 2moro meet at simei 9,0
Ya.. coz I didn't get her mail. Then Thor she din send me so I did everything,0
Endure bah haha. Maybe if you learn to understand her way of teachingthen it would be better? Lol,0
Not editing now..got another meeting NW... zz,0
"Then never mind lor, go another time.",0
Haha sorry>< it's okay de right? ><,0
Kinda.. I'm waiting in the middle of the two baggage sections lol,0
Email already eat already,0
"Could you help me inform your mum, including tml 3hrs session, itwill be  <DECIMAL> hours in all.",0
And da shoes.,0
Showering dammit!,0
