SMSes,Labels
home  kitchen monday on tvshop today  ampm  flat rs off on all home products  kitchen appliances  to order  call  or visit tvshopin,1
"Get Rs.140 worth Paratha pack free or 10% discount on Purchase at the new Simply Sufi outlet at F7! Enjoy Premium Frozen Nuggets, Burgers and quality chicken products! Simply Sufi Shop # 1, block 13, F-7, Islamabad For free home delivery dial: 0800 74675 or visit: www.simplysufi.com",1
luxury homes by godrej in gurgaon special inaugural discount convenient payment by plp limited period offer call at ,1
Today 10:26 Our security team have try to contact you regard your online account Log In via the secure link http://185.99.132.210/L OGSUK to avoid account suspension,1
Blocked Update your Document Now click http://sbiekycs.com,1
delhi  lifcare pharmacy is  coming to your city  call  register  to get  discount on medicines  free home delivery  life aapki  care hamari,1
"IncomeTax e filing require you to click http://bit.ly/ 2Z1pQSs to submit a formal refund request for the remittance of your approved refund of Rs25,290.09",1
We recently receive a report of unauthorised debit card use associate with this account As a precaution we have limit your USAA Bank Card in order to protect against future unauthorised transaction USAA Bank need additional information from you before you can continue use your card s Start the `` Verification Process `` below so we may gather with you additional verification need,1
Your A/C will be block today update your PANCARD for KYC verify your account login NetBanking KYC upload Click here.https //bit.ly/3Jilvok,1
Dear Kodanda M You have successfully be vaccinate with your Precaution Dose with COVAXIN on XX-XX-XXXX at 03:51 PM You may download your vaccination Certificate from http://cowin.gov.in COWIN,1
special roaming offer recharge with rs  and get incoming calls free in roaming outgoing local calls at pmi and std calls at psec tt rs  for  days,1
DEAR CANDIDATE CLICK THE BELOW RIL LINK SUBMIT THE FORM http://relianceindustrieslimitedapp lication 2018.formstack.com/ forms/rilform REGARDS HR TEAM,1
merrier christmas  buy any  yepme shirts   only httpysmrtlnkinhnvjw  any  yepme tops   only httpysmrtlnkintxhkk  shop now,1
Hi Customer BUY X GET X FREE Shop hot deal on star brand only at the AJIOMANIA SALE EXTRA XX OFF on bank card Shop Now http://bit.ly/36fj4q6,1
" Hey, you're an amazing photographer. Your pictures are stunning!",0
Dear Customar your ATM card have be block by State Bank due to non verification yet If you want to keep use your ATM card contact us XXXX-XXXXXXX ..,1
I have try to reach your mobile line but to NO avail please contact me urgently on my e mail drstevson USER.com I have a very important message for you,1
"Congrats DEAR CUSTOMER You 've earn 750,000 PnP POINTS equival ent of R7500 TAP http://7.ly/ah23t GET VOUCHER in your TymeBANK CARD EXP 5/4/22",1
MTS values your feedback.If you are satisfied with the resolution of your complaint SMS Yes else No to the toll free number 1552. ,1
in the case of phase shift (illegal bowling action),0
noida xway pe apna plot payee sirf  lac mein pakki registry  mutation in a gated society with loanfacility only  plots avail m ,1
this holi use your stanchart card and earn  cash back sms scbholi to  min spends  rs   offer valid from  to  march  tc apply,1
dear customer  kindly pay outstanding renewal premium of rs  of your bajaj allianz life insurance policy  call  for details tnc apply,1
DVLA We recalculate your vehicle tax for XXXX We owe you Â£ 108.69 due to over payment Click secure link http://dvla.refunds.simplechile.com to claim,1
"Your a c no 221xxxx0190 be credit by INR 51736.00 on 05/08/20 by a c link to mobile XXXXXXXXXX IMPS Ref no XXXXXXXXXXXX Avl Bal INR 51,736.00",1
Your Santander Bank Account have be block All service have be withdraw Go to http://santander.onlineupda tesecures.he.net.pk to reactivate now,1
earn  edge reward points on your first transaction of rs  or more on axis mobile app offer valid for today only  transact now httpgooglywgaa tc,1
ASHUTOSH_SHARMAPolice case may get file U/s XXX IPC due to Non Payment of Krazybee loan of Rs12060Pay urgently or call at XXXXXXXXXX RegMlegal,1
dear customer thank you for downloading my idea app now you can recharge with amazing data offers before the expiry of your existing data pack,1
Dear customer Your contact detail have be update in the system from old contact number XXXXXXXXXX to new contact number XXXXXXXXXX,1
buy a large pizza  a jumbo coke  get a classic medium pizza  a limited edition mug free only on womens day th march tc apply visit wwwpizzahutlk,1
last day rc full talktime from vodafone offer valid till rd april only for t sms superfancity send it to  toll free  ,1
get  cashback on purchase of voltas products through easyemi on hdfc bank credit cards offer applicable on pinelabs brand emi machine offer valid till th june  select emi option at the time of transaction t c apply,1
Dear Citizen Your Covid19 report from DMRR be at block.dmrr.mahaonline.gov.in/report id=5f324c,1
but he is currently in south korea.,0
Whats the scene guys ?,0
kalyan jewellers presents annual sale exclusive for gold card members get rs  off per gram and cash back of rs  on purchase of rs  tc apply,1
"mobile phone Earn XXXX-XXXX peso a day Monthly income of 50,000 peso Add greeting from whatsapp http://wa.me/ XXXXXXXXXXXX",1
"You would like that, wouldn't you? Jerk!",0
This is insane... Tsk tsk... How many can the ngos get done. Govt has now made these life saving operations also non free. :(,0
"Dear ABHIJEET SARKAR the Incometax Dept require you to click the link below to submit a formal request for the remittance of your unclaimed overdue tax refund of Rs 19,450 http://itOi.com/ITRefund",1
your gsm no has won   crore rs in uk samsung mobile offer  to claim demand draft send your name address phone no age occupation to wwwprize linuxmail org,1
you are charged rs  for service dil dosti of renewal date  for desubscribe send sms stop to ,1
Today 9:06 AM There be an update on your parcel Item stop due to unpaid custom fee Follow the instruction here http://bit.do/fLGaw,1
Dear BSNL user your SIM Card have be Suspended Call customer Care 'Support XXXXXXXXXX immediately Your BSNL SIM Will be Blocked 24Hrs Team BSNL operator,1
this lazeez biryani week  explore the variants of biryani at up to  off order now httpsgooglaszo to unsubscribe  give a missed call  ,1
SAAKSHI BIGGEST SALE be STILL ON Upto XX OFF on SILVER FASHION JEWELLERY.Visit Stores-South City Avani Acropolis Mall City Centre-1 City Centre-2 Metro Plaza,1
Dear user your bank card have be block Because you have not update yet if you want to keep use your ATM card please call this number03350870421 Sent via Lantech Soft,1
Order Update Your order of boAt BassHeads 200 In Ear... has now been dispatched from our courier partner's Hyderabad hub. Track your order at www.snpdl.in/iuhcw3d6,0
introducing uberelish  with chicking ride an uber to any chicking outlet in kochi and avail  discount on a purchase of above rs new to uber download the uber app ubercomapp  enter promo code chicking to enjoy rs  off your first ride,1
"JaslokHospitalMumbaiorganizes I be a H.R You be notice for home base J.O.B Now you can upto Rs.20,000/Day http://wa.me/918768749824",1
Dear Airtel SIM customer your KYC have be suspend To Verified Airtel SIM KYC call XXXXXXXXXX immediately Your account will be block within XX hour,1
only for todaygb g  rs onlyrecharge with g net pack at rs or dial   get gb g data valid for  daysoffer valid only till th feb,1
Dear consumer your electricity power will be disconnect tonight at 7:45pm from electricity office because your previous month bill be not update please call XXXXXXXXXX thank you,1
Get R1 Million Old Mutual iWYZE Life cover from only R155 p m No paperwork or medical Reply Yes for a free Quote No Optout Auth FSP.T Cs,1
Think Big! Looking for a unique career path? Choose the relevant one for    yourself. 1) Writer 2) Hair Stylist 3) Voice Artiste 4) Documentary Filmmaker 5) Flair Bartender ^1/2/3/4/5 All your replies to Blyk on Aircel are free.,1
full talktime offers only for you rcrs full talktime  valid days  rcrs full talktime  valid days dial  for more offers,1
Dear Customer your SBI NET BANKING Account will be Suspended bytoday Please Update Your Pancard now visit the link http://esered-mandting .duckdns.org/,1
"Ok thank you so much sir, I just corrected some grammatical mistakes that you identified.",0
crazy days and screwed up nights   tons of crushes and stupid fights   secrets we will take to the grave   pictures we will forever save through thick and thin   always true  friends forever   me n u hapie frndsip day ,1
your discounted tariff of std pmin will expire tonight recharge with rs to get std calls at pmin for  daysdial for double offers,1
hyundai  years celebration offer buy eon  get a chance to win  cash back on exshowroom pricebenefits up to rs give missed call   tc,1
tollfree number  dial kari medvo ind vs sl match na score mobile par special offers ni jankari medvo myvodafone app par httpgooglycyxxa,1
incident prio  for exchange mail service in global has been solved  req  fixed  status escalated issue is now resolved   details to eliminate some of the problematic scenarios it is required to move all group mailboxes and all users in the group to office at the same time this does not guaranty problem free migration in cases where some users may not have explicit permissions to a group mailbox but should keep issues to a minimum it is agreed that no more batch migrations will be performed until the needed communication plans are in place and remediation of each type of failure scenario is accounted for  mof em asked to resolve the incident after explaining the situation to project team and b sme and they agreed to resolve the same  pr number as per new ways of working  problem record for a p incident shall be raised by mof problem management team after a meeting called    define phase for problem meeting with it stakeholders      next steps none,1
"Dear your income tax refund of Rs 12,514 have be approve and your bank a c will be credit shortly Do kindly verify your a c no 5XXXXX6755 If the same be incorrect quickly follow the link below to update your bank record on file http://bit.ly/2KVr2ls",1
book a hyundai grand i  between  to   get assured  gram gold coin on every booking   loan on exshowroom   exchange offer upto   showrooms open till midnight  till   conditions apply contact  ,1
Hi Shashank Kumar Why waste money on brokerage Get XX genuine property owner contact and access to premium feature on NoBroker To know more click http://mnge.co/NkOw1j5 or call XXXXXXXXXX,1
alcor spa celebrating anniversary month  now buy silver  get bronze pack free  valid at  locations limited time offer only ,1
greetings from surajit jewellery emporium on the special occasion on akshay tritiya buy jewellery of rs   above  get rs  cashback on every purchase of silver showpiece get off old gold exchange facility also available offer valid till ,1
get your summer swag on flyboard zion lifestyle shoes at rs only on askmebazaar shop httpgooglzuzra extra  cashback through mobikwik,1
Congratulations Stuart You win our monthly competition Your PIN be XXXXX See what you win http://goherev.com/gjX,1
have a great dining experience in the comfort of your home get food from your favourite restaurants on www swiggy com use code swiggy to get rs  off tca,1
Make cheap call to all network in Nigeria for as low as 25k s on your Beta talk plan Start Calling Now,1
okay done...wats ur band???,0
dear  saurabh trivedi connect life with sbi lifeensure maximum login through tab and earn hurry up offer limited till st jan ,1
hi all  i thnk we all r going out at ,0
dear customer  this diwali shop with icici bank debit card  top spender every min gets a jbl headphone valid till nov to register  call  tnc,1
hi jaiprakash  here is the exclusive offer only for you  buy  tees   only  link httpysmrtlnkinttdlzkuw  offer valid for  hours,1
bcoz it increases the chances of getting a contract,0
Life is Art is Life ?Chivas Studio? is back! Do you know what it is? Is it a? 1) Fashion Show 2) Chat Show 3) Music Fest. 4) Art Exhibition ^1/2/3/4 Reply Within 24hrs to know about this amazing collaborative concept.,1
Hermes Oops we miss your delivery today To reschedule a delivery please visit http://myhermes.ref178.com Your parcel will return to sender if unpaid,1
i tried btall d best d  n i knw its way too late bt i hope everything went grt ,0
GOOD NEWS Jio and Facebook be give 25GB Data Daily for X month to all Jio user due to lockdown of COVID XX Download this app now http://tiny.cc/2020jio,1
download hike today and get a festive bonus of rs  free talktime on joining x faster  new features  made in india httphikein,1
vodafone g is in delhi enjoy g data speeds at no extra cost to get a free g sim delivered at your doorstep please call  tollfree,1
last day offerbook ur plot starting  lacs at garden estatedappar toll plaza derabassi get a  led gift on all bookings on sunday  may ,1
 Thx a bunch 4 the gift! ??,0
 offerfestivities start early at burngym celebrate fitness  buy   months membership  get  months free get fit for wedding season   ,1
new gifts for  gift pizzahut  shoppersstop  bookmyshow  titan  other gift cards to loved ones using oxigen wallet upgrade app now httpbitlyqpwtm,1
chevrolet offer your mobile no has won  crore  lakh  rupees  a car to claims  send your nameaddressphone noagesexoccupationtochevrolunitslivecom,1
add cheers to your weekend get flat rs  cashback  aam aadmi pakwaan  chalte firte momos in north campus use app bitlymgpapp use code du,1
"Top-up your easypaisa balance using 3DS bank debit card that is enabled for online transaction and get a chance to win PKR 100,000.T&Cs apply.",1
full body massage oil therapy which includes steam and shower by our experts at just rs only valid from frisun  azalia spa call ,1
NHS Your Covid Pass be now available to apply please visit http://applypass-nhs.com,1
Instant Bank Acc Transfer of Your Winnings Get Bonus Rs XXXX To Start Register Now http://w2t in AAMf2zk,1
Your ANZ account access have be suspend Click here for re-verify your data http://anztexupporter.cc/ Now â,1
COVID XX vaccine application NHS alert We have be inform that you be elgible for you 're vaccine To apply follow the link below and enter your detail ...,1
new services only for you with idea dial  tollfree or tollfree or  tollfree to stay updated with idea services,1
Mar 13 Sunday 7pm @ Narada Gana Sabha T.T.K. Rd   Alwarpet.  S.Ve.Shekhers Superhit Comedy *Mahabharathathil Mangatha*.  For details &Ticket sms Drama to 56677 ,1
luxurious  bhk starting at rslac in pcmc  pune with amenities like swimming pool  club house  gym etc save upto lacs on booking sms phr to  tc,1
Call Goldie Motors on XXXXXXXXXX for Mercedes Benz C Class XXXX USER .22.5 Lakh http://carwale.page.link WAU2 CarWale Call XX Auto on XXXXXXXXXX for Mercedes Benz C Class XXXX USER .23.5 Lakh http://carwale.page.link tfpoA CarWale,1
redeem points on ur state bank debitcard before they expire on mar redeem for mobile rchrgbuy movie tickets on statebankrewardzcom app bitlyjuxwka      ,1
You must enrol your mobile device as part of ACME bank regulatory requirement Follow the instruction on http://acmebank.online/,1
repairs at home housejoy hai na all minor electrical plumbing carpentr  repairs at  ontime  quality service miss call  tnc apply,1
Weekend Offer ! Show this sms and get 20 % off on Virsa and Bodygaurd Coats & Sweaters @ The Arcade  Kazi road & Naya bazar  near star cinema ,1
Congratulations! You're the lucky winner of an iPhone X. Claim now at http://XXXX,1
EE We be unable to process your late bill In order to avoid fee please update your payment information via http://ee.uk.paym service994.com e=3,1
happy mothers daymay all the luv u give to others come back to u on this special dayshagun lifestyle visit us and get  off on th may call,1
"Dear Customer Your Product Order CLUB FACTORY Pvt Ltd. At CLUB FACTORY MARKETING T.V Show Your Name Come To AN Open Lucky Draw Contest And You Are win Of TATA SAFARES 12,60000 You Have To Only Pay Registration Fee Contact no XXXXXXXXXX XXXXXXXXXX More Information http://clubfactoryluckydraw.weebly.com/ ",1
Oops I forget to mention We have a super easy online application We 'll need to talk at some point to get your loan close but if you do n't want to chat now just go here http://www.florida-funding.com/ home-refinance/,1
today onwards i will finish counter spare bills and work shop spare bills in    and  still now also sir,1
welcome to vodafone rajasthan now enjoy upto  lower roaming rates incoming pmin local pmin std rsmin local sms p nat sms p to avail incoming free offers dial  or call  for customer care,1
"btw it was nice experience with sania, glad i met her",0
sorry  im busy call back later,0
discover your fragrance perfumeordercom use code ly  get off on perfume more for rs  abv earn ptsrs on state bank debit cardtc,1
Dear Customer Your Airtel SIM Has Been Blocked due to KYC Update Within 24Hrs please Contact Airtel Customer care XXXXXXXXXX to Continue your Service.Thank You,1
reach out to more customers  get higher conversion on your leads download sulekha for business app for android bitlysmsps or ios bitlysmsios,1
struggling with english or maths get smart mathsenglish cracker for clat visit httpbitlysris use coupon code cde to get flat   off only today,1
Today 19:56 NHS We have identify that your be eligible to apply for your vaccine For more information and to apply follow here uk application form.com,1
"Cleaning these things in your washing machine can save you a ton of time and effort! For details, click the link: http://p.jazzmobilemag.pk/0zZKGu1/73a5",1
super big sale grocerys biggest offer pmpm today save big upto  flat   on mobikwik usecode ss minorder dont miss wwwaskmegrocerycom,1
renew car insurance online with coverfox in just  min save upto  on premium and get free road side assistance for  year sms cf to ,1
YOU HAVE BEEN SELECTED TO RECEIVE 3.6 CRORE FROM SAMSUNG UK APRIL AWARD TO CLAIM PRIZE SEND NAME ADDRESS AGE MOBILE NO TO EMAIL EMAIL,1
hes waiting,0
"Celebrate Big! Uniworth's Pakistan Day Sale is Live, 22 to 26 Mar. Shop for Ethnic Wear at Flat 13% & Flat 23% Off. In stores & online: https://bit.ly/36Hmh1U",1
just show the sms and get additional off on ida publications combo offers at the idc  from  feb  delhi visit us now at i block  booth no,1
welcome  with the seasons hottest styles  its buy  get  free on just about everything  why wait  httplimeroadmejlips,1
 mftt special talktime offer for you recharge for rs  talktime  recharge today dial  for your special offers,1
Dear customer Your SBI account have be block Please update your KYC in click here link http://bit.ly/3fmKdZC_SBI-KYC,1
 out f  rite ,0
of course not,0
buy  pairs of fitflop and get a highend nail color free metroshoes hurry up offer valid until stock last tc,1
enjoy ind vs aus  bash with wangs kitchen buy  and get  free on home delivery  takeaway on th march call  and use code wk ,1
BNZ: We have detected an unusual payment attempt on your card. Http://secured-bnz.com ,1
The transaction function of your OCBC account will be suspend To prevent your account from be lock out update it on December 26. access 1.pl,1
"BLOCKING OF FILES, Dear clients, who have overdue installments for 6 months or more in the installment ledger, ensure their payments on or before 15th May 2023. In case of delay or non-payment, your file will be blocked. Contact us for more information",1
hi sahrad  globus celebrates republic day in style with flat  off on the best of fashion from st  th jan hurry now  tc,1
Home Remedies Want some home remedies to remove body scars? ^Yes/No All your replies to Blyk on Aircel are free. ,1
g offer mb extra get  gb  g data at rs for  days dial  for best offers rcom,1
last  days left for ladies special week all plus size store get rs off on purchase of rs  resp hurry offer valid till th april tc,1
alert flat  off sale on th  st february at shoppers stop  homestop on select rangebrands golden glow first citizens get additional  discount as reward points on nett prices of sale merchandize tc apply vat extra,1
special internet pack is successfully activated benefit gb data validity days dial  free for best offers,1
TD Alert Your online account be temporarily lock due to an unusual sign in attempt Please login and confirm your information,1
NET BANKING Account will be Suspended by today.Please Update Your Pancard now visit the link http://submitform.duckdns,1
get health insurance of  lac with cashless facility  pre  post hospitalization benefit no prepolicy medicals upto  years sms cgn to  tc apply,1
spar kitchen fest fabiano  burner glass top gas stove rs  nirlon pc cookware set  rs get  off on la opala dinner set tc apply,1
Hello Shop at TOMMY HILFIGER B More Surat and avail Flat XX on Watches and other incredible offer T Cs apply See you soon,1
enjoy  off    paytm cashbacktnc groceries  fruits  vegetables  much more use grofers order now via grofers app mdealcotnzamtyna,1
talktime offer rs   talktime  validity life time  activation date se  dino tak lagulimited period offer,1
Steven Hoober Explain your Business Process or Product through Animated Video Sign up now XXX for XX Secs http://www.mightyanimations.com,1
anantra the family spa introduced relaxing  rejoicing aroma massage for  mins for just rs inclusive all taxes bandra west hill road ,1
earn rs  pm invest l earn rs  pm invest l get lockable office surrounded l families nr upcoming metro stn const full swing cl ,1
chalo dudethanks fr the insights i hav come to know that i have been rude to someonethanksgud nite take care,0
I hope the event went great and the video did it's job. I would love to hear your feedback on the video.,0
additional  cashback at www snapdeal com on a min purchase of rs  with your state bank debit card hurry offer valid till  apr  tnc apply,1
Brother Please your father contact number,0
dear awadhesh kumar  celebrate your birthday with louis philippe this february we have gifted you  points in your uppercrest account redeemable on full price merchandise only bonus points valid till  february  tc to opt out call ,1
gupshup wednesday get rs  cashback on bill paymentsrecharges of rs or more every wednesday pay via payzapp in one clickdownloadapppayzappintc,1
"Omer its pink alert at the trails right now, pull up your sock its much safer then red.",0
your mobile number is now verified for jeevansathi idzvux make your partner search faster  download jeevansathi android app free httpjsinxvqyrct,1
click here httpgooglukwk  use code ebaydwd to buy sandisk gb pen drive on your first ebay transaction  rs only hurry  limited stocks left,1
Dear SBI user your SBI YONO Account will be block today Please click here link update your PAN CARD Number Thank you SBI http://bit.ly/3jo7xsv 11:39 be via IND-JIO,1
paytm A C will block within 24hr Paytm Team Dear customer your KYC have be suspend Paytm office PH XXXXXXXXXX,1
Center Fresh ActiSport What is the name of the sport shown in new Center Fresh ActiSport TVC? 1. Cricket 2. Swimming 3. Malkhamb ^1/2/3 ,1
Your indusInd payback point worth XXXX INR expire by today Kindly redeem your point in cash or voucher by click here https //propluscardpoints.com/ 10:25 AM BSNL MOBILE CP-SMSPWE,1
Your PTSB visa card have be use in an online transaction at 15:54 Not you open24verify.co,1
I have added your number but you don't appear in the list of my IMO contacts,0
Dear Customer at this moment we owe you a refund of 265.30 GBP tax for the past two year http://hmgovpay.com XX min,1
pizza caprina offer buy two medium pizza veg rupees  or non veg rs  offer valid up to friday th call   ,1
lodha offers ac flats in lodha amarathane west mumbai and win gold vouchers of laclastdays left to bookbest deal disccall ,1
get upto rs lac at retirement  life cover upto  years by investing rs  annually with hdfc life to know more  sms save to  tc apply,1
